date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-05-02,Quebec,29664,2981,0,52.9399,-73.5491,26683
2020-05-02,Saskatchewan,421,7,0,52.9399,-106.4509,414
2020-05-02,Yukon,11,0,0,64.2823,-135.0,11
2020-05-03,Alberta,5766,95,0,53.9333,-116.5765,5671
2020-05-03,Manitoba,282,6,0,53.7609,-98.8139,276
2020-05-03,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-05-03,Nova Scotia,971,37,0,44.682,-63.7443,934
2020-05-03,Ontario,18574,1326,0,51.2538,-85.3232,17248
2020-05-03,Quebec,31873,3080,0,52.9399,-73.5491,28793
2020-05-03,Saskatchewan,433,7,0,52.9399,-106.4509,426
2020-05-03,Yukon,11,0,0,64.2823,-135.0,11
2020-05-04,Alberta,5836,104,0,53.9333,-116.5765,5732
2020-05-04,Manitoba,283,6,0,53.7609,-98.8139,277
